,Name_Player
680,Nemanja Radonjić
681,Nemanja Gudelj
682,Aleksandar Mitrović
683,Dušan Tadić (captain)
684,Luka Jović
685,Predrag Rajković
686,Stefan Mitrović
687,Andrija Živković
688,Srđan Babić
689,Saša Lukić
690,Filip Kostić
691,Dušan Vlahović
692,Uroš Račić
693,Sergej Milinković-Savić
694,Filip Đuričić
695,Darko Lazović
696,Vanja Milinković-Savić
697,Ivan Ilić
698,Filip Mladenović
699,Marko Grujić
700,Yann Sommer
701,Edimilson Fernandes
702,Silvan Widmer
703,Nico Elvedi
704,Manuel Akanji
705,Denis Zakaria
706,Breel Embolo
707,Remo Freuler
708,Haris Seferovic
709,Granit Xhaka (captain)
710,Renato Steffen
711,Jonas Omlin
712,Ricardo Rodriguez
713,Michel Aebischer
714,Djibril Sow
715,Christian Fassnacht
716,Ruben Vargas
717,Eray Cömert
718,Noah Okafor
719,Fabian Frei
720,Gregor Kobel
721,Fabian Schär
722,Xherdan Shaqiri
723,Philipp Köhn
724,Fabian Rieder
725,Ardon Jashari
726,Lawrence Ati-Zigi
727,Tariq Lamptey
728,Denis Odoi
729,Mohammed Salisu
730,Thomas Partey
731,Elisha Owusu
732,Abdul Fatawu Issahaku
733,Daniel-Kofi Kyereh
734,Jordan Ayew
735,André Ayew (captain)
736,Osman Bukari
737,Ibrahim Danlad
738,Daniel Afriyie
739,Gideon Mensah
740,Joseph Aidoo
741,Abdul Manaf Nurudeen
742,Baba Rahman
743,Daniel Amartey
744,Iñaki Williams
745,Mohammed Kudus
746,Salis Abdul Samed
747,Kamaldeen Sulemana
748,Alexander Djiku
749,Kamal Sowah
750,Antoine Semenyo
751,Alidu Seidu
752,Rui Patrício
753,Diogo Dalot
754,Pepe
755,Rúben Dias
756,Raphaël Guerreiro
757,João Palhinha
758,Cristiano Ronaldo (captain)
759,Bruno Fernandes
760,André Silva
761,Bernardo Silva
762,João Félix
763,José Sá
764,Danilo Pereira
765,William Carvalho
766,Rafael Leão
767,Vitinha
768,João Mário
769,Rúben Neves
770,Nuno Mendes
771,João Cancelo
772,Ricardo Horta
773,Diogo Costa
774,Matheus Nunes
775,António Silva
776,Otávio
777,Gonçalo Ramos
778,Kim Seung-gyu
779,Yoon Jong-gyu
780,Kim Jin-su
781,Kim Min-jae
782,Jung Woo-young
783,Hwang In-beom
784,Son Heung-min (captain)
785,Paik Seung-ho
786,Cho Gue-sung
787,Lee Jae-sung
788,Hwang Hee-chan
789,Song Bum-keun
790,Son Jun-ho
791,Hong Chul
792,Kim Moon-hwan
793,Hwang Ui-jo
794,Na Sang-ho
795,Lee Kang-in
796,Kim Young-gwon
797,Kwon Kyung-won
798,Jo Hyeon-woo
799,Kwon Chang-hoon
800,Kim Tae-hwan
801,Cho Yu-min
802,Jeong Woo-yeong
803,Song Min-kyu
804,Fernando Muslera
805,José Giménez
806,Diego Godín (captain)
807,Ronald Araújo
808,Matías Vecino
809,Rodrigo Bentancur
810,Nicolás de la Cruz
811,Facundo Pellistri
812,Luis Suárez
813,Giorgian de Arrascaeta
814,Darwin Núñez
815,Sebastián Sosa
816,Guillermo Varela
817,Lucas Torreira
818,Federico Valverde
819,Mathías Olivera
820,Matías Viña
821,Maxi Gómez
822,Sebastián Coates
823,Facundo Torres
824,Edinson Cavani
825,Martín Cáceres
826,Sergio Rochet
827,Agustín Canobbio
828,Manuel Ugarte
829,José Luis Rodríguez
